id,created_at,text
804169703866437632,2016-12-01 03:46:12,Felix could just trade the earrings. They're big enough. Wire those into account. #QueenSugar
804169046807678977,2016-12-01 03:43:36,That's why it hit every nerve! #realtalk #QueenSugar  https://t.co/XvEqP1WYQ5
804168031400329216,2016-12-01 03:39:34,"""You'll never have another Me ""  Bam! #QueenSugar"
804167737408946177,2016-12-01 03:38:23,This made me LOL😂 https://t.co/Ik7mFV2x0a
804167107168636928,2016-12-01 03:35:53,So glad Remy told her No .. #respect #QueenSugar
804157128269148160,2016-12-01 02:56:14,RT @OWNTVFans: 5 minutes until #QueenSugar season finale @OWNTV! https://t.co/9qipj6NO66
804151155228033025,2016-12-01 02:32:30,@towingaevans great 👍🏾 first class yesterday.
804150857398882304,2016-12-01 02:31:19,@RichOnOWN @ava @OWNTV i agree Rich👍🏾👍🏾
804150791409901569,2016-12-01 02:31:03,RT @RichOnOWN: @Oprah @ava #QueenSugar is everything @OWNTV was meant to be.
804150621121155073,2016-12-01 02:30:23,@3LWTV @tpoulos yep! Didn't want to miss the twitter and GIF fun fest!
804149948832948224,2016-12-01 02:27:42,.@ava I would be 😔 for #QueenSugarfinale if I didn't know  2nd season coming. Thanks to you and all the profoundly great DirectHers!!👏🏽👏🏽
804147750447304704,2016-12-01 02:18:58,@tpoulos up and ready.. just made some chai.. tweet ready. #GimmeSugar #QueenSugarfinale
804050180274126848,2016-11-30 19:51:16,Alright Sweeties. It’s all been leading up to tonight. Here we go! #QueenSugar finale. Who’s watching? https://t.co/AyWmFvmKdv
801521343439192065,2016-11-23 20:22:34,RT @QueenSugarOWN: Charley is about to find out that all decisions have consequences. Tune-in tonight for an all-new #QueenSugar. https://t…
800749286992527360,2016-11-21 17:14:41,Fun with @IAmSteveHarvey! Gave him tour of our LA office and talked with #QueenSugar cast. Watch our conversation o… https://t.co/kcxbXW6TjM
799313214093701120,2016-11-17 18:08:15,"Sweeties, @queensugarown has been nominated for a #PeoplesChoiceAward for Fav Cable TV Drama. Vote for us! 📝https://t.co/8bY7y0PrhE"
799099736334532609,2016-11-17 03:59:58,Ralph Angel and Darla❤️❤️  #GimmeSugar
799090072595283968,2016-11-17 03:21:34,@JoAnnluv2clean loved that line too! #GimmeSugar
799089872149454848,2016-11-17 03:20:46,Ain't nobody gonna fault you for a little kiss Charley @dawnlyen #GimmeSugar
799087766352982017,2016-11-17 03:12:24,Gettin my Sugar fix. thanks for joining us #QueenSugar lovers. #GimmeSugar
799031739620290560,2016-11-16 23:29:46,.@ConStar24 Countdown to a new #QueenSugar tonight! New episode starts 10/9c. #GimmeSugar
798706404810817536,2016-11-16 01:57:00,@HenryLouisGates your special #BlackAmericaPBS is so on point. Watching now! thank you🙏🏾
797920196446953473,2016-11-13 21:52:54,Getting ready to go LIVE on Facebook for 13th! https://t.co/JgC2Wbjr0x
796807184969502720,2016-11-10 20:10:11,"Everybody take a deep breath!  
#HopeLives! https://t.co/YqNJSUab3a"
795489929031581697,2016-11-07 04:55:53,RT @AppStoreGames: One of @Oprah's favorite things is now available exclusively on the App Store. #BoldMoves https://t.co/9DFUu1VcPC https:…
794676811820986368,2016-11-04 23:04:50,Chicago I wish I was there celebrating on Michigan Ave.. or at least looking out my window shouting #YaaayCubs!
794580206962937857,2016-11-04 16:40:58,Solve mind-bending puzzles and share inspiring quotes. One of my new favorite things! Download #BoldMoves today… https://t.co/bI9AQC8Z7f
794162566301786112,2016-11-03 13:01:25,Sometimes it's the little things that make for the most thoughtful gifts. Happy Favorite Things Day!… https://t.co/Q1RgFQ2a4e
794008414170906624,2016-11-03 02:48:52,@HateULuvMee so unexpected.. that performance. He just started crying in the scene and director went with it. #GimmeSugar
794007864775843840,2016-11-03 02:46:41,@OhhTHATSMallory this Gif .. so funny I don't remember even doing that.#GimmeSugar
794007601050595328,2016-11-03 02:45:38,@Sophia_Loren89 yep.. to be seen as people.. that's what everybody wants. Great scene👍🏾 #GimmeSugar
794007230508994560,2016-11-03 02:44:10,@RichOnOWN isn't that a great scene! Those actors were not playin' #GimmeSugar #QueenSugar
794006835476844544,2016-11-03 02:42:36,@bkttwiitter05 stayed in the country the longest.. not exposed to same worlds as the girls.#QueenSugar
793991357287141376,2016-11-03 01:41:05,Be sure and DVR #QueenSugar if you're watching #game7 ! See ya in 20 minutes. #GimmeSugar
791686662363357185,2016-10-27 17:03:03,Link to pre-order my new book here: https://t.co/Wy4AYgdvcM
791655523691094016,2016-10-27 14:59:19,"Food, health and happiness. New point friendly cookbook coming Jan. 3. You can pre-order now. Bon appetite! https://t.co/4HglFjB0S0"
791504689808322560,2016-10-27 04:59:58,@Alydaemi 5 episodes left! #QueenSugar
791495953110949889,2016-10-27 04:25:15,"@OWNingLight #QueenSugar is the heart of my expectation. Exactly the drama, realism, and soulful expression I wanted  for OWNtv"
791494552951676928,2016-10-27 04:19:41,I see y'all payin' attention🍷#QueenSugar  https://t.co/Q9OcY3vY8n
791487679812800516,2016-10-27 03:52:22,@TorianHenderson welcome! you're starting with the Hurricane? #queensugar
791487330360107008,2016-10-27 03:50:59,@Aliciagentile31 I've seen multiple times and still cried tonight. @BiancaLawson . Darla's apology hits the Core nerve.#queensugar
791485014567448576,2016-10-27 03:41:47,We hear you. Appreciate and honor your trust. I love these characters. I love US! #QueenSugar  https://t.co/r9IQbZ4mB5
791480344662990848,2016-10-27 03:23:13,Well said Tammy! https://t.co/6KskxW9i5p
791476873595412481,2016-10-27 03:09:26,RT @iteachoneofu: @BiancaLawson you raised the dead with that performance! Everybody got their life tonight! #QueenSugar #Brilliant
791476711560970241,2016-10-27 03:08:47,Love your words Sonya. Our whole Sugar team lead by @AVAETC thanks you! https://t.co/RseiiwTEHX
791475740428697600,2016-10-27 03:04:56,@O_Shaw did u love her tonight? @BiancaLawson. Darla! #QueenSugar
791473594488459264,2016-10-27 02:56:24,@BiancaLawson  killed that scene y'all! And when Hollywood looks at her. Ovah! #QueenSugar
791472737944469504,2016-10-27 02:53:00,"This scene kills "" you want me to wait 18 years before I get my son back"" #QueenSugar"
791471764782145536,2016-10-27 02:49:08,It all starts with the Words! https://t.co/ABZbMSKRDY
791469788430213120,2016-10-27 02:41:17,I'm 😂 at this one! https://t.co/XuDuO4B8Jl
791468573633961984,2016-10-27 02:36:27,RT @3LWTV: Alcohol.  Spades. Back folk. Hurricane. #QueenSugar @Oprah @OWNTV @AVAETC https://t.co/ZDjUqbs9YO
791467051722432514,2016-10-27 02:30:24,@MsMookie that's the point.. storm outside and in👍🏾👍🏾 #QueenSugar
791466041020915712,2016-10-27 02:26:23,@BritniDWrites you know it Britni! Dranks and a storm! Dangerous combination. #QueenSugar
791465674128388096,2016-10-27 02:24:56,"RT @BritniDWrites: Oh, this is about to get real interesting. Dranks and a storm? #QueenSugar"
791464468983193600,2016-10-27 02:20:08,@looklikeoprah2 @kenlikebarbie @QueenSugarOWN bless you 🙏🏾 #QueenSugar
791463622673326080,2016-10-27 02:16:46,@_SistahK here👍🏾#QueenSugar
791460340651401216,2016-10-27 02:03:44,Hurricane's coming y'all!#QueenSugar
