id,created_at,text
845287621223993344,2017-03-24 14:54:08,Watch LIVE as @POTUS meets with Charter Communications (@GetSpectrum) CEO Thomas Rutledge &amp; Texas @GovAbbott:… https://t.co/AEoEdS9hsF
845273247537123329,2017-03-24 13:57:01,Watch LIVE as @POTUS holds a National Economic Council meeting: https://t.co/NCx2afIqIY https://t.co/tmdI4tM6JN
845262618713579522,2017-03-24 13:14:47,RT @VP: This is our moment to end the Obamacare nightmare and replace it with a plan that lowers costs &amp; improves care. #PassTheBill https:…
845262549272670208,2017-03-24 13:14:30,"RT @POTUS: After seven horrible years of ObamaCare (skyrocketing premiums &amp; deductibles, bad healthcare), this is finally your chance for a…"
845030979622391808,2017-03-23 21:54:20,Be sure to follow us on @Snapchat: https://t.co/oIs7HVheAq https://t.co/MpAZZ3g8bf
844952515888189441,2017-03-23 16:42:32,RT @POTUS: We must #RepealANDReplace #Obamacare for the millions that are suffering. Tell your Rep you support #AHCA. Locator➡️https://t.co…
844642241259995141,2017-03-22 20:09:37,RT @POTUS: I spoke with PM Theresa May of the United Kingdom to offer my condolences on today's terror attack in London....https://t.co/j1C…
844259657304752129,2017-03-21 18:49:22,RT @POTUS: #ConfirmGorsuch #SCOTUS https://t.co/EnzFXVMp1M
844254485593673728,2017-03-21 18:28:49,#ICYMI: Watch @POTUS sign the NASA Transition Authorization Act of 2017: https://t.co/5Vij4Hxejg https://t.co/PuhEB7xBzN
844243934641623040,2017-03-21 17:46:53,RT @GorsuchFacts: America needs Judge Gorsuch on #SCOTUS: https://t.co/6z8RkXys4q #ConfirmGorsuch https://t.co/5H0rkNUSGh
844227883526688769,2017-03-21 16:43:07,.@POTUS announced his intent to nominate Judge Amul R. Thapar for the U.S. Court of Appeals for the Sixth Circuit: https://t.co/ZrCDex1gJc
844193336198086656,2017-03-21 14:25:50,Join us LIVE as @POTUS signs the NASA Transition Authorization Act of 2017: https://t.co/5Vij4Hxejg https://t.co/43WyVVzVyq
843949378423455744,2017-03-20 22:16:26,RT @GorsuchFacts: #ICYMI: Watch Judge Gorsuch's moving opening remarks at today's @senjudiciary Committee hearing (2/2) #ConfirmGorsuch htt…
843949341018656768,2017-03-20 22:16:17,RT @GorsuchFacts: #ICYMI: Watch Judge Gorsuch's moving opening remarks at today's @senjudiciary Committee hearing (1/2) #ConfirmGorsuch htt…
843886174548692992,2017-03-20 18:05:17,"Today @POTUS welcomes the Prime Minister of Iraq, Haider al-Abadi, to the White House. https://t.co/FRF2Maadlz"
843864618116300801,2017-03-20 16:39:37,RT @VP: .@POTUS appointed a nominee to the #SCOTUS who will keep faith with the Constitution of the United States. It's time to #ConfirmGor…
843841467789561857,2017-03-20 15:07:38,RT @GorsuchFacts: .@SenCapito: Gorsuch Right for High Court https://t.co/PH35bAI73M #SCOTUS
843826718502674433,2017-03-20 14:09:01,.@POTUS kept his promise to nominate an exceptionally qualified individual to #SCOTUS. It's time for the Senate to… https://t.co/AFNKgs3CIX
843495547407290368,2017-03-19 16:13:04,Stories like Dr. Sethi's are why @POTUS is fighting to #RepealAndReplace #Obamacare. Share your story here:… https://t.co/naEF8zQezB
843225258060529664,2017-03-18 22:19:02,#ICYMI: Watch @POTUS' Weekly Address https://t.co/99jsORXx4T https://t.co/qysLcgrfNK
843193120196124672,2017-03-18 20:11:20,Read @POTUS' #AmericaFirst Budget Blueprint to #MakeAmericaGreatAgain: https://t.co/I5gAY8wzae https://t.co/nhei8em6bS
843192506447777793,2017-03-18 20:08:53,RT @VP: Obamacare is hurting small businesses &amp; job creators like Mac Paper in Jacksonville. That's why it's time to #repealandreplace it.…
843180221800960001,2017-03-18 19:20:05,Stories like Ms. Sertich's are why @POTUS is fighting to #RepealAndReplace #Obamacare. Share your story here:… https://t.co/jGveManT5g
843137128833978368,2017-03-18 16:28:50,"RT @POTUS: It's time to put #AmericaFirst when it comes to how we spend taxpayers' money. We will keep our people safe! 
https://t.co/A0tlz…"
843106509638787075,2017-03-18 14:27:10,Don't forget to tune in TODAY at 11:00am EDT for @POTUS' Weekly Address: https://t.co/99jsORFWdl https://t.co/6J3bdB5doy
842854817236054016,2017-03-17 21:47:02,Don’t miss your chance to attend the 139th Easter Egg Roll hosted by @POTUS &amp; @FLOTUS. Enter ticket lottery here:… https://t.co/sTRPBHSFmo
842842829621747717,2017-03-17 20:59:24,RT @POTUS: Great meeting with the @RepublicanStudy Committee this morning at the @WhiteHouse! https://t.co/U8gaHBVmW7
